symbol,date,wave,entry_time,exit_time,entry_price,exit_price,shares,pnl_pct,pnl_dollar,exit_reason,cross_time_min,vol_at_cross,macd_hist_pct,w1_pnl
SPCB,2025-01-02,1,2025-01-02 14:17:00+00:00,2025-01-02 14:18:00+00:00,5.996,5.8702,8338,-2.1,-1048.89,hard_stop,8,12397,1.3938,-2.1
KBSX,2025-01-02,1,2025-01-02 15:00:00+00:00,2025-01-02 15:27:00+00:00,10.01,11.6783,4995,16.67,8333.21,macd_flip,2,937,0.735,16.67
OBIO,2025-01-02,1,2025-01-02 16:38:00+00:00,2025-01-02 16:40:00+00:00,4.9379,4.8343,10125,-2.1,-1048.93,hard_stop,38,32794,0.7846,-2.1
STFS,2025-01-02,1,2025-01-02 16:58:00+00:00,2025-01-02 17:06:00+00:00,8.008,7.84,6243,-2.1,-1048.87,hard_stop,92,262408,0.5024,-2.1
SPCB,2025-01-03,1,2025-01-03 13:55:00+00:00,2025-01-03 14:11:00+00:00,9.1158,9.7203,5484,6.63,3314.88,macd_flip,2,117924,0.5779,6.63
BDMD,2025-01-03,1,2025-01-03 14:32:00+00:00,2025-01-03 14:33:00+00:00,5.4153,5.3017,9233,-2.1,-1048.99,hard_stop,21,66366,1.0916,-2.1
RGP,2025-01-03,1,2025-01-03 14:32:00+00:00,2025-01-03 14:35:00+00:00,9.3394,9.1435,5353,-2.1,-1048.87,hard_stop,6,36404,0.5554,-2.1
WKEY,2025-01-03,1,2025-01-03 14:43:00+00:00,2025-01-03 14:45:00+00:00,11.3113,11.074,4420,-2.1,-1048.91,hard_stop,30,282956,0.8085,-2.1
RGTIW,2025-01-06,1,2025-01-06 14:38:00+00:00,2025-01-06 14:50:00+00:00,8.7288,8.7123,5728,-0.19,-94.75,macd_flip,7,248011,0.956,-0.19
NUAI,2025-01-06,1,2025-01-06 14:41:00+00:00,2025-01-06 14:46:00+00:00,5.7157,5.5958,8747,-2.1,-1048.9,hard_stop,40,159328,1.5629,-2.1
DFNS,2025-01-06,1,2025-01-06 14:59:00+00:00,2025-01-06 15:00:00+00:00,27.7081,27.1268,1804,-2.1,-1048.69,hard_stop,28,208881,0.7707,-2.1
SPCB,2025-01-06,1,2025-01-06 15:16:00+00:00,2025-01-06 15:28:00+00:00,8.5786,8.5165,5828,-0.72,-361.89,macd_flip,19,24648,0.5016,-0.72
ZJK,2025-01-06,1,2025-01-06 19:56:00+00:00,2025-01-06 19:57:00+00:00,13.4034,13.1222,3730,-2.1,-1048.89,hard_stop,114,272793,3.4302,-2.1
ANVS,2025-01-07,1,2025-01-07 13:44:00+00:00,2025-01-07 13:50:00+00:00,6.026,5.8996,8297,-2.1,-1048.96,hard_stop,13,35987,0.8906,-2.1
CRMD,2025-01-07,1,2025-01-07 14:09:00+00:00,2025-01-07 14:11:00+00:00,10.6105,10.3879,4712,-2.1,-1048.93,hard_stop,30,75586,0.6468,-2.1
DNLI,2025-01-07,1,2025-01-07 14:40:00+00:00,2025-01-07 14:50:00+00:00,20.9609,20.8791,2385,-0.39,-195.19,macd_flip,9,103574,0.6858,-0.39
SPCB,2025-01-07,1,2025-01-07 17:06:00+00:00,2025-01-07 17:13:00+00:00,9.7197,9.6864,5144,-0.34,-171.33,macd_flip,92,298326,0.5435,-0.34
ANGO,2025-01-08,1,2025-01-08 14:32:00+00:00,2025-01-08 14:40:00+00:00,11.7317,11.5385,4261,-1.65,-823.52,macd_flip,31,226683,0.5694,-1.65
DYN,2025-01-10,1,2025-01-10 13:41:00+00:00,2025-01-10 13:48:00+00:00,20.02,19.6,2497,-2.1,-1048.79,hard_stop,4,7317,1.1766,-2.1
