symbol,bar_date
AA,2025-01-03
AA,2025-01-23
AA,2025-01-27
AA,2025-02-03
AA,2025-02-04
AA,2025-02-07
AA,2025-02-21
AA,2025-03-10
AA,2025-03-12
AA,2025-03-18
AA,2025-03-19
AA,2025-03-31
AA,2025-04-10
AA,2025-04-11
AA,2025-04-17
AA,2025-04-22
AA,2025-04-23
AA,2025-04-24
AA,2025-04-30
AA,2025-05-02
AA,2025-05-08
AA,2025-05-15
AA,2025-06-26
AA,2025-06-27
AA,2025-07-08
AA,2025-07-14
AA,2025-07-17
AA,2025-08-01
AA,2025-08-12
AA,2025-08-18
AA,2025-08-22
AA,2025-09-02
AA,2025-09-30
AA,2025-10-07
AA,2025-10-08
AA,2025-10-10
AA,2025-10-13
AA,2025-10-20
AA,2025-10-21
AA,2025-10-24
AA,2025-10-30
AA,2025-11-04
AA,2025-11-12
AA,2025-11-13
AA,2025-11-17
AA,2025-11-24
AA,2025-11-26
AA,2025-12-03
AA,2025-12-11
AA,2025-12-19
AA,2025-12-22
AA,2026-01-02
AA,2026-01-05
AA,2026-01-06
AA,2026-01-08
AA,2026-01-16
AA,2026-01-23
AA,2026-01-26
AA,2026-01-29
AA,2026-01-30
AA,2026-02-03
AA,2026-02-04
AA,2026-02-06
AA,2026-02-09
AA,2026-02-12
AA,2026-02-13
AA,2026-02-17
AA,2026-02-18
AA,2026-02-25
AA,2026-02-26
AA,2026-03-02
AA,2026-03-06
AA,2026-03-09
AA,2026-03-16
AA,2026-03-19
AA,2026-03-20
AA,2026-03-30
AA,2026-03-31
AA,2026-04-01
AA,2026-04-08
AA,2026-04-09
AA,2026-04-17
AA,2026-04-28
AA,2026-05-15
AA,2026-05-22
AA,2026-05-26
AA,2026-05-27
AAL,2025-01-06
AAL,2025-01-13
AAL,2025-01-23
AAL,2025-02-27
AAL,2025-03-04
AAL,2025-03-05
AAL,2025-03-06
AAL,2025-03-07
AAL,2025-03-10
AAL,2025-03-11
AAL,2025-03-17
AAL,2025-03-31
AAL,2025-04-01
AAL,2025-04-16
AAL,2025-04-21
AAL,2025-05-02
AAL,2025-05-08
AAL,2025-05-13
AAL,2025-05-27
AAL,2025-06-11
AAL,2025-06-13
AAL,2025-06-16
AAL,2025-06-24
AAL,2025-07-11
AAL,2025-07-17
AAL,2025-07-24
AAL,2025-08-01
AAL,2025-08-22
AAL,2025-10-16
AAL,2025-10-24
AAL,2025-10-28
AAL,2025-11-04
AAL,2025-11-05
AAL,2025-11-21
AAL,2025-11-25
AAL,2026-01-07
AAL,2026-01-27
AAL,2026-02-04
AAL,2026-02-06
AAL,2026-02-11
