accession,filed_date,acceptance_datetime,subject_cik,subject_name,ticker_raw,symbol,map_method,S,elig_ok,taint_ok,entry_dt,split,hold_label
0001140361-16-047979,2016-01-19,,70318,TENET HEALTHCARE CORP  (THC)  (CIK 0000070318),THC,THC,ticker,11,True,True,2016-01-20,TRAIN,primary
0001193125-16-432579,2016-01-19,,1053706,"CRA INTERNATIONAL, INC.  (CRAI)  (CIK 0001053706)",CRAI,CRAI,ticker,11,True,True,2016-01-20,TRAIN,primary
0000902664-16-004960,2016-01-21,,8063,"ASTRONICS CORP  (ATRO, ATROB)  (CIK 0000008063)",,ATRO,cik,13,True,True,2016-01-22,TRAIN,primary
0000921895-16-003066,2016-01-25,,1386278,GREEN DOT CORP  (GDOT)  (CIK 0001386278),GDOT,GDOT,ticker,15,True,True,2016-01-26,TRAIN,primary
0000902664-16-005041,2016-01-25,,723612,"AVIS BUDGET GROUP, INC.  (CAR)  (CIK 0000723612)",CAR,CAR,ticker,15,True,True,2016-01-26,TRAIN,primary
0001193125-16-438459,2016-01-26,,100517,"United Continental Holdings, Inc.  (UAL)  (CIK 0000100517)",UAL,UAL,ticker,16,True,True,2016-01-27,TRAIN,primary
0000921895-16-003097,2016-01-27,,816956,CONMED CORP  (CNMD)  (CIK 0000816956),CNMD,CNMD,ticker,17,True,True,2016-01-28,TRAIN,primary
0000921895-16-003150,2016-02-03,,1406587,Forestar Group Inc.  (FOR)  (CIK 0001406587),FOR,FOR,ticker,22,True,True,2016-02-04,TRAIN,primary
0001258602-16-000054,2016-02-05,,1258602,NELNET INC  (NNI)  (CIK 0001258602),NNI,NNI,ticker,24,True,True,2016-02-08,TRAIN,primary
0000105418-16-000054,2016-02-09,,105418,WEIS MARKETS INC  (WMK)  (CIK 0000105418),WMK,WMK,ticker,26,True,True,2016-02-10,TRAIN,primary
0000004457-16-000068,2016-02-12,,4457,"AMERCO /NV/  (UHAL, UHAL-B)  (CIK 0000004457)",,UHAL,cik,29,True,True,2016-02-16,TRAIN,primary
0001193125-16-462677,2016-02-12,,900075,COPART INC  (CPRT)  (CIK 0000900075),CPRT,CPRT,ticker,29,True,True,2016-02-16,TRAIN,primary
0001193125-16-465591,2016-02-16,,1633917,"PayPal Holdings, Inc.  (PYPL)  (CIK 0001633917)",PYPL,PYPL,ticker,30,True,True,2016-02-17,TRAIN,primary
0001104659-16-098539,2016-02-19,,1610250,"Boot Barn Holdings, Inc.  (BOOT)  (CIK 0001610250)",BOOT,BOOT,ticker,33,True,True,2016-02-22,TRAIN,primary
0001193125-16-470278,2016-02-22,,880631,"WisdomTree Investments, Inc.  (WT)  (CIK 0000880631)",WT,WT,ticker,34,True,True,2016-02-23,TRAIN,primary
0000919574-16-011302,2016-02-23,,1599617,NOW Inc.  (DNOW)  (CIK 0001599617),DNOW,DNOW,ticker,35,True,True,2016-02-24,TRAIN,primary
0000034782-16-000116,2016-02-29,,34782,1ST SOURCE CORP  (SRCE)  (CIK 0000034782),SRCE,SRCE,ticker,39,True,True,2016-03-01,TRAIN,primary
0001287032-16-000429,2016-02-29,,1287032,"PROSPECT CAPITAL CORP  (PSEC, PSEC-PA)  (CIK 0001287032)",,PSEC,cik,39,True,True,2016-03-01,TRAIN,primary
0001398344-16-010608,2016-03-03,,1495222,"Oxford Lane Capital Corp.  (OXLC, OXLCI, OXLCL, OXLCN, OXLCO, OXLCP, OXLCZ)  (CIK 0001495222)",,OXLC,cik,42,True,True,2016-03-04,TRAIN,primary
0001193125-16-493482,2016-03-04,,1400810,"HCI Group, Inc.  (HCI, HCIIP)  (CIK 0001400810)",,HCI,cik,43,True,True,2016-03-07,TRAIN,primary
0001628280-16-012278,2016-03-04,,1496099,"New Mountain Finance Corp  (NMFC, NMFCZ)  (CIK 0001496099)",,NMFC,cik,43,True,True,2016-03-07,TRAIN,primary
0001193125-16-506645,2016-03-16,,1529864,"Enova International, Inc.  (ENVA)  (CIK 0001529864)",ENVA,ENVA,ticker,51,True,True,2016-03-17,TRAIN,primary
0000903423-16-000934,2016-03-18,,932470,"TELECOM ARGENTINA SA  (TEO, TCMFF)  (CIK 0000932470)",,TEO,cik,53,True,True,2016-03-21,TRAIN,primary
0000899140-16-001325,2016-03-21,,730708,SEACOAST BANKING CORP OF FLORIDA  (SBCF)  (CIK 0000730708),SBCF,SBCF,ticker,54,True,True,2016-03-22,TRAIN,primary
0001193125-16-516587,2016-03-24,,1267565,"COLLEGIUM PHARMACEUTICAL, INC  (COLL)  (CIK 0001267565)",COLL,COLL,ticker,57,True,True,2016-03-28,TRAIN,primary
0000943663-16-000364,2016-03-28,,909037,CHEMICAL & MINING CO OF CHILE INC  (SQM)  (CIK 0000909037),SQM,SQM,ticker,58,True,True,2016-03-29,TRAIN,primary
0001104659-16-109125,2016-04-01,,1544227,"OvaScience, Inc.  (TPST)  (CIK 0001544227)",TPST,TPST,ticker,62,True,True,2016-04-04,TRAIN,primary
