pop,day,symbol,hour,price,entry_m,sig_ix,ref,limit,touch_off,fill_m,entry,rpct,rr,why,exit_m,ssr_active,ssr_undet,split
P1,2025-01-23,ORKA,11,12.43,720,339,12.41,12.5341,5,735,12.5341,0.019999999999999952,0.5349406818199968,eod,955,False,False,TRAIN
P1,2025-01-23,MTW,12,9.9,780,349,9.91,10.0091,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-23,METC,12,10.14,782,349,10.15,10.2515,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-23,NPWR,12,9.95,781,349,9.93,10.0293,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-24,LFMD,9,5.19,601,383,5.21,5.2621,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-27,BCYC,9,13.44,600,428,13.46,13.594600000000002,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-27,BMBL,10,7.945,660,433,7.945,8.02445,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-29,DAVE,12,97.25,780,571,97.2,98.172,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-29,PAM,12,84.73,782,571,84.84,85.6884,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-30,NGNE,9,16.075,600,587,16.21,16.3721,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-30,STVN,9,22.36,600,587,22.45,22.6745,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-30,STVN,9,22.36,600,612,22.45,22.6745,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-01-31,TFSL,10,13.82,660,640,13.8,13.938,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-03,HOOD,10,51.68,660,737,51.7,52.217000000000006,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-04,PJT,10,187.875,661,819,186.93,188.79930000000002,4,665,188.79930000000002,0.02000000000000009,3.9696386586178933,eod,955,False,False,TRAIN
P1,2025-02-05,SLAB,14,146.28,900,837,146.15,147.6115,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-05,AGX,14,143.955,900,837,143.955,145.39455,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-05,BNTX,14,123.08,901,837,122.74,123.9674,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-06,BDC,14,114.03,902,907,114.02,115.1602,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-06,ARW,14,110.14,901,907,110.265,111.36765,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-06,TEX,11,45.91,720,931,45.91,46.369099999999996,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-10,ENGN,11,6.2151,722,1064,6.1685,6.230185,5,746,6.230185,0.019999999999999962,-1.0509999999999962,stop,938,False,False,TRAIN
P1,2025-02-10,GDS,14,29.42,900,1084,29.455,29.74955,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-10,SYM,14,27.49,900,1084,27.5,27.775,7,907,27.775,0.020000000000000077,-0.47704770477047626,eod,955,False,False,TRAIN
P1,2025-02-11,GPCR,14,25.275,900,1124,25.28,25.5328,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-11,TXG,9,12.39,600,1159,12.3814,12.505213999999999,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-12,GDS,9,35.4855,600,1192,35.525,35.88025,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-12,EXEL,9,35.095,600,1192,35.12,35.471199999999996,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-12,DXYZ,9,48.7154,600,1192,48.8365,49.324865,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-12,IRTC,14,111.53,901,1203,111.54,112.6554,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-12,DAVE,14,107.81,900,1203,107.8023,108.880323,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-12,GH,13,45.65,840,1209,45.64,46.0964,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-14,MLYS,10,10.345,660,1348,10.345,10.448450000000001,7,674,10.448450000000001,0.019999999999999973,1.117151347807577,eod,955,False,False,TRAIN
P1,2025-02-14,PPC,9,56.005,600,1329,55.93,56.4893,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-18,BOOM,10,9.115,662,1391,9.13,9.221300000000001,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-18,JOBY,9,8.13,600,1401,8.135,8.21635,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-18,GRPN,10,13.105,660,1410,13.12,13.251199999999999,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-18,OLMA,14,5.075,900,1414,5.075,5.12575,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-20,MGRC,10,128.785,662,1510,128.16,129.4416,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-25,PATK,10,94.16,660,1813,94.19,95.1319,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-25,PATK,11,92.97,720,1814,92.955,93.88455,-1,-1,,,,unfilled,-1,False,False,TRAIN
P1,2025-02-26,CSIQ,10,11.76,660,1885,11.75,11.8675,-1,-1,,,,unfilled,-1,False,False,TRAIN
