symbol,bar_date,open,src
A,2025-01-15,144.14,universe
A,2025-04-07,102.63,universe
A,2025-04-08,106.06,universe
A,2025-04-09,98.06,universe
A,2025-04-10,104.82,universe
A,2025-07-01,117.44,universe
A,2025-07-15,118.0,universe
A,2025-08-28,118.8,universe
A,2025-10-01,128.34,universe
A,2025-11-21,144.47,universe
A,2025-11-25,150.78,universe
A,2026-02-12,129.0,universe
A,2026-02-26,121.89,universe
A,2026-05-20,111.2,universe
A,2026-05-28,133.0,universe
A,2026-07-21,126.39,universe
A,2026-08-20,153.69,universe
A,2026-08-27,159.35,universe
AA,2025-01-03,37.95,universe
AA,2025-01-21,39.99,universe
AA,2025-01-23,37.6,universe
AA,2025-02-03,34.18,universe
AA,2025-02-04,34.5,universe
AA,2025-02-11,37.08,universe
AA,2025-02-21,36.46,universe
AA,2025-03-03,34.5,universe
AA,2025-03-04,31.355,universe
AA,2025-03-10,32.42,universe
AA,2025-03-13,33.0,universe
AA,2025-03-18,34.59,universe
AA,2025-03-28,32.05,universe
AA,2025-03-31,29.74,universe
AA,2025-04-02,29.58,universe
AA,2025-04-03,28.85,universe
AA,2025-04-04,26.28,universe
AA,2025-04-07,23.92,universe
AA,2025-04-08,25.22,universe
AA,2025-04-09,22.13,universe
AA,2025-04-10,24.56,universe
AA,2025-04-14,25.52,universe
AA,2025-04-17,23.8,universe
AA,2025-04-22,23.62,universe
AA,2025-04-23,25.23,universe
AA,2025-04-24,25.25,universe
AA,2025-05-08,24.66,universe
AA,2025-05-23,27.33,universe
AA,2025-06-03,26.64,universe
AA,2025-06-11,29.3,universe
AA,2025-06-26,28.58,universe
AA,2025-06-27,29.88,universe
AA,2025-07-14,30.5,universe
AA,2025-07-15,30.0,universe
AA,2025-07-17,29.12,universe
AA,2025-08-12,29.73,universe
AA,2025-08-18,30.77,universe
AA,2025-08-22,29.57,universe
AA,2025-09-09,32.19,universe
AA,2025-09-11,31.01,universe
AA,2025-09-23,32.67,universe
AA,2025-10-06,34.95,universe
AA,2025-10-07,34.1,universe
AA,2025-10-10,37.06,universe
AA,2025-10-20,36.51,universe
AA,2025-10-21,37.96,universe
AA,2025-10-22,37.38,universe
AA,2025-10-23,37.685,universe
AA,2025-10-24,38.48,universe
AA,2025-11-07,36.06,universe
AA,2025-11-12,38.17,universe
AA,2025-11-13,40.18,universe
AA,2025-11-20,37.41,universe
AA,2025-11-21,35.51,universe
AA,2025-11-24,37.01,universe
AA,2025-11-26,39.6,universe
AA,2025-12-03,42.41,universe
AA,2025-12-11,44.5,universe
AA,2025-12-12,47.1,universe
AA,2025-12-19,48.66,universe
AA,2026-01-05,58.07,universe
AA,2026-01-06,61.73,universe
AA,2026-01-08,59.56,universe
AA,2026-01-09,61.16,universe
AA,2026-01-16,62.79,universe
AA,2026-01-23,60.79,universe
AA,2026-01-26,63.71,universe
AA,2026-01-27,57.755,universe
AA,2026-01-29,63.05,universe
AA,2026-01-30,58.35,universe
AA,2026-02-04,61.8,universe
AA,2026-02-09,59.35,universe
AA,2026-02-11,63.47,universe
AA,2026-02-12,63.48,universe
AA,2026-02-13,58.82,universe
AA,2026-02-17,58.9,universe
AA,2026-02-24,59.84,universe
AA,2026-02-25,62.595,universe
AA,2026-03-03,62.15,universe
AA,2026-03-04,66.46,universe
AA,2026-03-05,61.12,universe
AA,2026-03-06,58.26,universe
AA,2026-03-09,57.84,universe
AA,2026-03-11,60.92,universe
AA,2026-03-13,67.08,universe
AA,2026-03-16,64.54,universe
AA,2026-03-19,59.87,universe
AA,2026-03-20,57.935,universe
AA,2026-03-23,57.07,universe
AA,2026-03-30,64.0,universe
AA,2026-04-01,67.58,universe
AA,2026-04-08,71.5,universe
AA,2026-04-17,65.045,universe
AA,2026-04-28,66.28,universe
AA,2026-05-12,64.21,universe
AA,2026-05-19,61.59,universe
AA,2026-05-22,67.64,universe
AA,2026-05-28,72.77,universe
AA,2026-06-02,78.7,universe
AA,2026-06-05,76.61,universe
AA,2026-06-09,74.54,universe
AA,2026-06-10,70.23,universe
AA,2026-06-11,66.33,universe
AA,2026-06-15,66.29,universe
AA,2026-06-17,62.66,universe
AA,2026-06-29,53.93,universe
AA,2026-07-01,48.845,universe
AA,2026-07-02,48.67,universe
AA,2026-07-08,47.9,universe
AA,2026-07-17,46.53,universe
AA,2026-07-20,44.37,universe
AA,2026-07-22,44.95,universe
AA,2026-07-29,44.85,universe
AA,2026-08-12,54.4,universe
AA,2026-08-19,51.2,universe
AA,2026-08-24,51.5,universe
AA,2026-09-01,49.08,universe
AAAU,2026-01-29,54.71,universe
AAAU,2026-01-30,50.04,universe
AACG,2025-07-31,1.75,universe
AACG,2025-08-01,2.22,universe
AACG,2025-08-04,1.22,universe
AACG,2025-08-05,1.42,universe
AACG,2025-08-06,1.37,universe
AACG,2025-08-07,1.54,universe
AACG,2025-08-08,1.62,universe
AACG,2025-08-11,1.89,universe
AACG,2025-08-12,1.79,universe
AACG,2025-08-13,1.58,universe
AACG,2025-08-14,1.89,universe
AACG,2025-08-15,2.04,universe
AACG,2025-08-18,2.0,universe
AACG,2025-08-19,1.98,universe
AACG,2025-08-21,1.87,universe
AACG,2025-08-22,1.68,universe
AACG,2025-08-25,1.84,universe
AACG,2025-08-26,1.75,universe
AACG,2025-08-27,1.82,universe
AACG,2025-08-28,2.02,universe
AACG,2025-08-29,2.3,universe
AACG,2025-09-02,2.01,universe
AACG,2025-09-03,2.07,universe
AACG,2025-09-04,2.21,universe
AACG,2025-09-05,2.19,universe
AACIW,2025-10-27,1.04,universe
AACIW,2025-10-28,1.03,universe
AACIW,2025-10-29,1.05,universe
AACT,2025-09-19,11.4,universe
AACT,2025-09-22,11.35,universe
AACT,2025-09-23,11.3,universe
AACT,2025-09-24,9.25,universe
AACT+,2025-06-02,1.29,universe
AACT+,2025-06-03,1.35,universe
AACT+,2025-06-04,1.36,universe
AACT+,2025-06-05,1.49,universe
AACT+,2025-06-06,1.31,universe
AACT+,2025-06-09,1.31,universe
AACT+,2025-06-11,1.13,universe
AACT+,2025-06-12,1.4,universe
AACT+,2025-06-18,1.0601,universe
AACT+,2025-06-20,1.24,universe
AACT+,2025-06-23,1.09,universe
AACT+,2025-06-27,1.02,universe
AACT+,2025-06-30,1.17,universe
AACT+,2025-07-01,1.21,universe
AACT+,2025-07-02,1.11,universe
AACT+,2025-07-03,1.1,universe
AACT+,2025-07-07,1.4,universe
AACT+,2025-07-08,1.32,universe
AACT+,2025-07-11,1.36,universe
AACT+,2025-07-14,1.49,universe
AACT=,2025-01-06,11.11,universe
AADI,2025-01-02,3.22,universe
AADI,2025-01-03,3.17,universe
AADI,2025-01-06,3.27,universe
AADI,2025-01-07,3.4,universe
AADI,2025-01-08,3.73,universe
AADI,2025-01-10,3.63,universe
AADI,2025-01-13,3.58,universe
AADI,2025-01-14,3.03,universe
AADI,2025-01-15,3.05,universe
AADI,2025-01-17,3.13,universe
AADI,2025-01-23,2.98,universe
AADI,2025-01-24,3.04,universe
AADI,2025-01-28,3.04,universe
AADI,2025-01-29,2.83,universe
AADI,2025-01-30,2.89,universe
AADI,2025-01-31,2.88,universe
AADI,2025-02-04,2.7,universe
AADI,2025-02-05,2.75,universe
AADI,2025-02-07,2.85,universe
AADI,2025-02-10,2.75,universe
AADI,2025-02-11,2.63,universe
AADI,2025-02-19,2.72,universe
AADI,2025-02-24,2.82,universe
AADI,2025-02-25,2.72,universe
AADI,2025-03-07,2.1,universe
AADI,2025-03-10,2.08,universe
AADI,2025-03-11,1.94,universe
AADI,2025-03-13,2.0,universe
AADI,2025-03-17,1.98,universe
AADI,2025-03-18,2.15,universe
AADX,2026-06-04,19.2,universe
AADX,2026-06-05,18.595,universe
AADX,2026-06-08,17.45,universe
AADX,2026-06-09,19.1,universe
AADX,2026-06-10,19.03,universe
AADX,2026-06-11,18.51,universe
AADX,2026-06-12,20.83,universe
AADX,2026-06-15,20.76,universe
AADX,2026-06-16,19.73,universe
AADX,2026-06-17,21.72,universe
AADX,2026-06-18,20.29,universe
AADX,2026-06-22,18.64,universe
AADX,2026-06-23,17.75,universe
AADX,2026-06-24,18.1,universe
AADX,2026-06-25,18.2,universe
AADX,2026-06-26,18.48,universe
AADX,2026-06-29,21.25,universe
AADX,2026-06-30,21.1,universe
AADX,2026-07-01,22.54,universe
AADX,2026-07-02,23.92,universe
AADX,2026-07-06,23.03,universe
AADX,2026-07-07,22.85,universe
AADX,2026-07-08,23.08,universe
AADX,2026-07-09,21.01,universe
AADX,2026-07-13,20.59,universe
AADX,2026-07-14,18.81,universe
AADX,2026-07-16,18.67,universe
AADX,2026-07-17,17.09,universe
AADX,2026-07-20,16.82,universe
AADX,2026-07-21,17.13,universe
AADX,2026-07-22,17.82,universe
AADX,2026-07-23,17.92,universe
AADX,2026-07-24,19.22,universe
AADX,2026-07-27,19.1,universe
AADX,2026-07-28,18.89,universe
AADX,2026-07-29,18.94,universe
AADX,2026-07-30,17.6,universe
AADX,2026-07-31,18.2,universe
AADX,2026-08-03,18.62,universe
AADX,2026-08-04,19.62,universe
AADX,2026-08-05,20.25,universe
AADX,2026-08-06,20.99,universe
AADX,2026-08-10,21.43,universe
AADX,2026-08-11,21.82,universe
AADX,2026-08-12,19.95,universe
AADX,2026-08-13,19.15,universe
AADX,2026-08-14,18.57,universe
AADX,2026-08-18,17.9,universe
AADX,2026-08-20,17.24,universe
AADX,2026-08-21,15.76,universe
AADX,2026-08-25,14.68,universe
AADX,2026-08-28,14.47,universe
AADX,2026-09-01,13.02,universe
AADX,2026-09-02,12.75,universe
AADX,2026-09-03,12.37,universe
AAL,2025-02-13,16.36,universe
AAL,2025-02-21,15.93,universe
AAL,2025-02-27,15.12,universe
AAL,2025-03-03,14.36,universe
AAL,2025-03-05,13.51,universe
AAL,2025-03-06,13.82,universe
AAL,2025-03-10,12.72,universe
AAL,2025-03-11,12.5,universe
AAL,2025-03-12,11.55,universe
AAL,2025-03-13,10.985,universe
AAL,2025-03-17,10.88,universe
AAL,2025-03-25,11.95,universe
AAL,2025-03-31,10.41,universe
AAL,2025-04-02,10.11,universe
AAL,2025-04-03,9.975,universe
AAL,2025-04-04,9.22,universe
AAL,2025-04-07,9.01,universe
AAL,2025-04-08,10.05,universe
AAL,2025-04-09,9.13,universe
AAL,2025-04-10,10.53,universe
AAL,2025-04-14,9.965,universe
AAL,2025-04-16,9.92,universe
AAL,2025-04-23,9.82,universe
AAL,2025-04-24,9.41,universe
AAL,2025-04-30,9.64,universe
AAL,2025-05-05,10.42,universe
AAL,2025-05-12,11.925,universe
AAL,2025-05-13,11.77,universe
AAL,2025-05-14,12.235,universe
AAL,2025-06-11,11.95,universe
AAL,2025-06-23,10.5,universe
AAL,2025-07-10,12.295,universe
AAL,2025-07-11,12.815,universe
AAL,2025-08-05,11.3,universe
AAL,2025-08-12,11.78,universe
AAL,2025-08-22,12.58,universe
AAL,2025-09-04,13.47,universe
AAL,2025-10-09,12.44,universe
AAL,2025-10-10,11.7,universe
AAL,2025-10-14,11.59,universe
AAL,2025-10-16,12.55,universe
AAL,2025-10-23,12.74,universe
AAL,2025-10-24,13.0,universe
AAL,2025-10-28,13.45,universe
AAL,2025-11-04,13.06,universe
AAL,2025-11-05,12.755,universe
AAL,2025-11-07,12.8,universe
AAL,2025-11-10,13.87,universe
AAL,2025-11-21,12.34,universe
AAL,2025-11-25,13.1,universe
AAL,2025-12-16,15.36,universe
AAL,2026-01-07,15.74,universe
AAL,2026-01-09,16.02,universe
AAL,2026-01-12,15.7,universe
AAL,2026-01-13,15.62,universe
AAL,2026-01-27,14.59,universe
AAL,2026-02-04,14.15,universe
AAL,2026-02-06,14.32,universe
AAL,2026-02-11,15.18,universe
AAL,2026-02-12,14.62,universe
AAL,2026-02-19,13.92,universe
AAL,2026-02-23,13.5,universe
AAL,2026-03-03,12.06,universe
AAL,2026-03-05,12.02,universe
AAL,2026-03-09,10.89,universe
AAL,2026-03-10,11.39,universe
AAL,2026-03-23,11.14,universe
AAL,2026-03-31,10.38,universe
AAL,2026-04-02,10.57,universe
AAL,2026-04-08,12.03,universe
AAL,2026-04-17,13.155,universe
AAL,2026-04-21,12.055,universe
AAL,2026-04-23,11.735,universe
AAL,2026-05-01,11.84,universe
AAL,2026-05-20,12.11,universe
AAL,2026-05-21,12.7,universe
AAL,2026-06-04,13.815,universe
AAL,2026-06-09,13.94,universe
AAL,2026-06-11,13.33,universe
AAL,2026-06-24,16.46,universe
AAL,2026-07-02,18.459,universe
AAL,2026-07-16,15.37,universe
AAL,2026-07-23,13.985,universe
AAL,2026-07-24,13.865,universe
AAL,2026-08-10,15.74,universe
AALG,2025-07-17,14.6391,universe
AAME,2025-01-06,1.48,universe
AAME,2025-01-07,1.5404,universe
AAME,2026-08-28,1.57,universe
AAME,2026-08-31,1.42,universe
AAME,2026-09-01,1.35,universe
AAME,2026-09-02,1.35,universe
AAMI,2025-02-11,24.97,universe
AAMI,2025-03-06,23.32,universe
AAMI,2025-04-03,25.4,universe
AAMI,2025-04-04,23.33,universe
AAMI,2025-04-07,22.68,universe
AAMI,2025-04-08,24.27,universe
AAMI,2025-04-09,23.06,universe
AAMI,2025-04-10,25.22,universe
AAMI,2025-04-21,26.31,universe
AAMI,2025-05-01,27.09,universe
AAMI,2025-06-09,30.5,universe
AAMI,2025-07-31,40.0,universe
AAMI,2025-08-05,41.18,universe
AAMI,2025-08-07,45.97,universe
AAMI,2025-09-04,46.02,universe
AAMI,2025-09-05,42.65,universe
AAMI,2025-10-14,45.4,universe
AAMI,2025-10-30,51.0,universe
AAMI,2025-11-03,47.82,universe
AAMI,2025-11-04,45.63,universe
AAMI,2025-11-10,45.17,universe
AAMI,2025-11-17,43.62,universe
AAMI,2025-12-04,44.64,universe
AAMI,2025-12-10,46.26,universe
AAMI,2025-12-17,48.08,universe
AAMI,2026-01-05,47.6,universe
AAMI,2026-01-08,48.15,universe
AAMI,2026-01-12,50.75,universe
AAMI,2026-02-03,56.2,universe
AAMI,2026-02-05,50.97,universe
AAMI,2026-02-24,52.41,universe
AAMI,2026-02-25,55.0,universe
AAMI,2026-02-26,56.77,universe
AAMI,2026-02-27,55.2,universe
AAMI,2026-03-02,52.72,universe
AAMI,2026-03-03,52.61,universe
AAMI,2026-03-09,50.17,universe
