kind,symbol,ex_date,old_rate,new_rate,ratio
reverse_splits,09175M606,2026-08-26,5,1,0.2
reverse_splits,92859L102,2024-08-06,10,1,0.1
reverse_splits,92859L110,2024-09-11,10,1,0.1
reverse_splits,AAIRF,2023-09-15,10,1,0.1
forward_splits,AAMC,2023-11-01,1,1.7,1.7
reverse_splits,AAMCD,2025-11-24,10000,1,0.0001
reverse_splits,AAN,2020-12-01,2,0.5,0.25
forward_splits,AAON,2023-08-17,2,3,1.5
forward_splits,AAPL,2020-08-31,1,4,4
reverse_splits,AATGF,2024-02-01,5,1,0.2
reverse_splits,AAUGF,2023-06-07,10,1,0.1
reverse_splits,AAUGF,2025-12-23,10,1,0.1
reverse_splits,AAWC,2020-12-30,2000,1,0.0005
reverse_splits,AAZZF,2021-08-20,3,1,0.3333333333
reverse_splits,ABCE,2021-01-04,170,1,0.005882352941
reverse_splits,ABEO,2022-07-05,25,1,0.04
reverse_splits,ABETF,2022-01-10,8,1,0.125
reverse_splits,ABIL,2018-03-23,10,1,0.1
reverse_splits,ABIO,2019-04-04,18,1,0.05555555556
reverse_splits,ABML,2023-09-11,15,1,0.06666666667
reverse_splits,ABNY,2025-12-02,5,1,0.2
reverse_splits,ABP,2025-11-03,30,1,0.03333333333
reverse_splits,ABQQ,2025-12-18,2000,1,0.0005
reverse_splits,ABTC,2025-09-03,5,1,0.2
reverse_splits,ABTC,2026-07-06,15,1,0.06666666667
reverse_splits,ABTS,2025-03-10,15,1,0.06666666667
reverse_splits,ABVC,2023-07-25,10,1,0.1
reverse_splits,ABXXF,2023-05-23,3,1,0.3333333333
reverse_splits,ACAT,2025-10-28,10,1,0.1
reverse_splits,ACB,2020-05-11,12,1,0.08333333333
reverse_splits,ACB,2024-02-20,10,1,0.1
reverse_splits,ACET,2025-12-30,16,1,0.0625
reverse_splits,ACEZ,2021-01-27,20,1,0.05
reverse_splits,ACFN,2023-09-08,16,1,0.0625
forward_splits,ACGL,2018-06-21,1,3,3
reverse_splits,ACHV,2018-05-24,10,1,0.1
reverse_splits,ACHV,2020-07-31,20,1,0.05
forward_splits,ACIM,2019-09-23,1,2,2
reverse_splits,ACMB,2021-01-25,25,1,0.04
forward_splits,ACMR,2022-03-24,1,3,3
reverse_splits,ACON,2024-01-04,16,1,0.0625
reverse_splits,ACON,2025-01-30,335,1,0.002985074627
reverse_splits,ACON,2025-03-28,27,1,0.03703703704
reverse_splits,ACOR,2021-01-04,6,1,0.1666666667
reverse_splits,ACOR,2023-06-05,20,1,0.05
reverse_splits,ACPRF,2022-12-15,10,1,0.1
reverse_splits,ACRX,2022-10-26,20,1,0.05
reverse_splits,ACST,2021-08-31,8,1,0.125
reverse_splits,ACST,2023-07-10,6,1,0.1666666667
reverse_splits,ACTHF,2024-08-20,3.25,1,0.3076923077
reverse_splits,ACTTU,2020-06-24,1,0.5,0.5
reverse_splits,ACTVX,2020-12-04,1.039641,1,0.9618704918
reverse_splits,ACUIX,2020-09-14,4,1,0.25
reverse_splits,ACXP,2025-08-05,20,1,0.05
forward_splits,ACY,2022-01-10,1,5,5
reverse_splits,ADAD,2020-06-05,400,1,0.0025
reverse_splits,ADD,2024-11-15,100,1,0.01
reverse_splits,ADIL,2023-08-07,25,1,0.04
reverse_splits,ADIL,2026-02-06,25,1,0.04
forward_splits,ADKT,2025-10-06,1,2,2
