cell,split,n,n_dropped,net_bps,net_bps_nosplit,t_nosplit
K1_h2_n10,TRAIN,48,0,-394.77,-394.77,-2.135
K1_h2_n10,VAL,161,0,-125.754,-125.754,-2.01358
K1_h2_n20,TRAIN,48,0,-394.77,-394.77,-2.135
K1_h2_n20,VAL,165,0,-131.15,-131.15,-2.14982
K1_h5_n10,TRAIN,48,0,-428.009,-428.009,-1.74596
K1_h5_n10,VAL,149,0,-139.062,-139.062,-1.51008
K1_h5_n20,TRAIN,48,0,-428.009,-428.009,-1.74596
K1_h5_n20,VAL,163,0,-126.488,-126.488,-1.48149
K2_h10_n10,TRAIN,809,4,-101.782,-94.881,-2.37069
K2_h10_n10,VAL,322,0,-144.497,-144.497,-2.72569
K2_h10_n20,TRAIN,1216,4,-90.9725,-86.3535,-2.70594
K2_h10_n20,VAL,525,1,-107.408,-94.9518,-2.37563
K2_h5_n10,TRAIN,1162,4,-94.8791,-83.7061,-2.89631
K2_h5_n10,VAL,491,1,-100.67,-87.3358,-2.35986
K2_h5_n20,TRAIN,1410,4,-80.3581,-71.1145,-2.6722
K2_h5_n20,VAL,648,1,-91.6537,-81.541,-2.59595
K3_h1_n10,TRAIN,10366,0,7.59775,7.59775,0.109491
K3_h1_n10,VAL,3237,0,-67.8806,-67.8806,-8.47883
K3_h1_n20,TRAIN,16186,0,-15.8879,-15.8879,-0.357203
K3_h1_n20,VAL,5369,0,-72.4816,-72.4816,-12.6531
K3_h3_n10,TRAIN,4013,0,-40.7409,-40.7409,-3.0052
K3_h3_n10,VAL,1168,0,-67.8231,-67.8231,-2.56031
K3_h3_n20,TRAIN,7628,1,-38.4168,-37.7447,-4.05464
K3_h3_n20,VAL,2286,1,-57.4876,-55.563,-2.72916
K4_h1_n10,TRAIN,12471,4,-85.3456,-86.9867,-18.762
K4_h1_n10,VAL,3520,0,-82.4169,-82.4169,-6.90812
K4_h1_n20,TRAIN,24929,9,-79.4871,-79.7832,-26.1578
K4_h1_n20,VAL,7040,0,-69.3194,-69.3194,-9.74626
K4_h2_n10,TRAIN,6236,3,-75.8943,-75.8455,-7.99106
K4_h2_n10,VAL,1760,0,-104.681,-104.681,-4.5127
K4_h2_n20,TRAIN,12470,6,-74.9369,-74.8932,-12.106
K4_h2_n20,VAL,3520,0,-79.451,-79.451,-5.58417
K5_h2_n10,TRAIN,3482,0,-57.319,-57.319,-4.66965
K5_h2_n10,VAL,1251,0,-103.639,-103.639,-4.83057
K5_h2_n20,TRAIN,4612,0,-57.8052,-57.8052,-5.65934
K5_h2_n20,VAL,1623,0,-96.5896,-96.5896,-5.33103
K5_h5_n10,TRAIN,2279,0,-29.8313,-29.8313,-1.3117
K5_h5_n10,VAL,789,0,-76.2577,-76.2577,-1.72591
K5_h5_n20,TRAIN,3438,0,-40.5431,-40.5431,-2.31804
K5_h5_n20,VAL,1219,0,-91.5602,-91.5602,-2.78244
