day,symbol,rvol,rk,side,prev_close,atr14,adv20,status,entry,R,stop,tgt,exit,exit_m,reason,gross_r
2025-04-09,AA,2.620205234653353,14,short,22.57,2.039214285714286,5803700.65,ok,22.0139,0.2039214285714286,22.21782142857143,19.974685714285712,22.21782142857143,579.0,stop,-1.0000000000000075
2025-04-17,AA,3.6894334337997097,8,long,25.07,2.4184999999999994,6852766.5,ok,24.4673,0.24184999999999995,24.225450000000002,26.8858,24.225450000000002,575.0,stop,-0.9999999999999979
2025-05-12,AA,4.345338127651085,13,long,25.92,1.0800571428571435,6841597.65,ok,28.29,0.10800571428571436,28.181994285714286,29.370057142857142,28.181994285714286,575.0,stop,-0.9999999999999929
2025-05-15,AA,1.956286214499718,10,long,29.61,1.0375571428571437,7351656.95,ok,28.5,0.10375571428571438,28.396244285714285,29.537557142857143,28.396244285714285,586.0,stop,-1.0000000000000022
2025-06-02,AA,2.6948982313435508,7,long,26.77,1.170864285714286,6291784.05,ok,26.7,0.11708642857142859,26.58291357142857,27.870864285714283,26.58291357142857,584.0,stop,-1.0000000000000075
2025-06-11,AA,3.947457560515561,3,long,28.76,1.0151428571428571,6220807.7,ok,29.555,0.10151428571428572,29.453485714285716,30.570142857142855,29.453485714285716,575.0,stop,-0.9999999999999841
2025-07-17,AA,3.3976751815645896,9,long,28.56,1.37815,6205491.15,ok,29.18,0.137815,29.042185,30.55815,29.43,955.0,time,1.8140260494140696
2025-08-12,AA,2.0635708324605417,15,long,29.33,1.0737285714285714,6371598.4,ok,30.21,0.10737285714285714,30.102627142857145,31.283728571428572,31.283728571428572,616.0,target,9.999999999999996
2025-08-19,AA,1.6263579643594055,9,long,29.63,1.164778571428571,5697161.55,ok,29.805,0.1164778571428571,29.688522142857142,30.96977857142857,29.688522142857142,710.0,stop,-1.0000000000000056
2025-09-12,AA,1.7947116973969053,11,long,32.29,1.2600285714285708,5380773.05,ok,33.04,0.12600285714285708,32.91399714285714,34.30002857142857,32.91399714285714,614.0,stop,-1.0000000000000053
2025-09-29,AA,1.8693594191539822,16,short,32.71,1.1962785714285713,6251660.95,ok,33.355,0.11962785714285713,33.474627857142856,32.158721428571425,33.474627857142856,576.0,stop,-1.000000000000018
2025-09-30,AA,2.3120702700924434,10,short,33.85,1.1644928571428572,6416161.85,ok,32.99,0.11644928571428573,33.10644928571429,31.825507142857145,32.945,955.0,time,0.3864343153672192
2025-10-08,AA,2.4148624113723174,12,long,35.53,1.281278571428572,6702566.25,ok,37.055,0.1281278571428572,36.92687214285714,38.33627857142857,36.92687214285714,588.0,stop,-1.0000000000000002
2025-10-23,AA,4.1873833400187195,7,long,35.65,1.8439285714285707,7414385.25,ok,38.195,0.18439285714285708,38.01060714285714,40.03892857142857,40.03892857142857,587.0,target,9.999999999999996
2025-10-24,AA,2.3991766240545016,10,short,40.14,2.201071428571428,8161918.35,ok,38.42,0.2201071428571428,38.64010714285715,36.21892857142858,38.64010714285715,575.0,stop,-1.0000000000000113
2025-12-22,AA,2.2133323576224364,17,long,51.25,1.8595285714285705,6235589.1,ok,52.5584,0.18595285714285706,52.37244714285714,54.41792857142857,52.37244714285714,583.0,stop,-1.000000000000007
2025-12-23,AA,1.5229633954320647,15,short,53.72,1.9886785714285702,6405296.3,ok,53.6236,0.19886785714285704,53.82246785714286,51.63492142857143,53.82246785714286,587.0,stop,-1.0000000000000044
2026-01-06,AA,3.2639377009771735,11,long,61.44,2.064671428571427,5924837.1,ok,64.27,0.2064671428571427,64.06353285714286,66.33467142857143,64.06353285714286,575.0,stop,-0.9999999999999668
2026-01-07,AA,2.136148884146337,15,short,63.56,2.2280642857142836,6287368.7,ok,61.3545,0.22280642857142838,61.57730642857143,59.12643571428572,61.57730642857143,577.0,stop,-1.000000000000012
2026-01-08,AA,3.0968057800735695,7,long,62.74,2.3052071428571415,6457928.2,ok,59.76,0.23052071428571416,59.52947928571428,62.06520714285714,59.52947928571428,575.0,stop,-1.0000000000000127
2026-01-23,AA,3.415583442495459,4,short,63.14,2.995464285714285,7806655.1,ok,58.82,0.2995464285714285,59.11954642857143,55.824535714285716,59.11954642857143,575.0,stop,-1.0000000000000118
2026-02-25,AA,1.9825552327067522,12,long,61.41,3.5810214285714284,7237367.0,ok,63.19,0.35810214285714287,62.831897857142856,66.77102142857143,62.831897857142856,576.0,stop,-0.999999999999997
2026-03-04,AA,3.6285149502936322,7,short,63.84,3.770057142857144,7087781.95,ok,65.195,0.3770057142857144,65.57200571428571,61.42494285714285,61.42494285714285,598.0,target,9.999999999999991
