key,exit,n,gross,s4,step1_spread_table,step2_entry_025,step3_target_charge,corrected,total_delta
"F2 {""P"": 0.12}",hold,834,0.524,-0.162,0.52,0.069,0.0,0.427,0.589
"F1 {""P"": 0.12}",hold,833,0.344,-0.205,0.415,0.056,0.0,0.266,0.471
F6 {},hold,1242,0.084,-0.111,0.132,0.029,0.0,0.051,0.162
"F5 {""K"": 8, ""X"": 0.06}",hold,1602,0.082,-0.257,0.24,0.045,0.0,0.028,0.285
F6 {},2r,1342,0.061,-0.121,0.125,0.029,-0.005,0.028,0.148
"F8 {""N"": 30}",hold,1124,0.032,-0.106,0.097,0.021,0.0,0.012,0.118
"F5 {""K"": 8, ""X"": 0.04}",hold,1862,0.084,-0.342,0.293,0.059,0.0,0.011,0.352
"F8 {""N"": 30}",2r,1148,0.025,-0.112,0.096,0.021,-0.001,0.005,0.116
"F8 {""N"": 15}",hold,1244,0.03,-0.126,0.105,0.025,0.0,0.004,0.13
"F8 {""N"": 15}",2r,1326,0.023,-0.133,0.107,0.025,-0.002,-0.004,0.129
"F2 {""P"": 0.08}",hold,1861,0.095,-0.668,0.559,0.085,0.0,-0.025,0.643
"F2 {""P"": 0.05}",hold,2601,0.112,-0.724,0.594,0.101,0.0,-0.029,0.695
"F8 {""N"": 5}",hold,1427,-0.002,-0.2,0.138,0.028,0.0,-0.034,0.166
"F9 {""G"": 0.05}",hold,1141,-0.011,-0.184,0.118,0.026,0.0,-0.041,0.143
"F8 {""N"": 5}",2r,1589,-0.022,-0.217,0.137,0.028,-0.004,-0.056,0.161
"F5 {""K"": 8, ""X"": 0.06}",2r,1941,0.0,-0.347,0.251,0.047,-0.011,-0.06,0.287
"F1 {""P"": 0.08}",hold,2014,0.039,-0.637,0.501,0.073,0.0,-0.063,0.574
"F5 {""K"": 5, ""X"": 0.06}",hold,1879,0.0,-0.398,0.284,0.051,0.0,-0.063,0.335
"F5 {""K"": 5, ""X"": 0.04}",hold,2139,0.019,-0.475,0.35,0.063,0.0,-0.063,0.413
"F3 {""M"": 15, ""P"": 0.05}",hold,1794,0.066,-0.655,0.488,0.097,0.0,-0.07,0.585
"F9 {""G"": 0.05}",2r,1191,-0.052,-0.218,0.113,0.026,-0.004,-0.083,0.135
"F5 {""K"": 3, ""X"": 0.06}",hold,1989,-0.03,-0.492,0.328,0.058,0.0,-0.105,0.386
"F3 {""M"": 30, ""P"": 0.05}",hold,2033,0.028,-0.71,0.503,0.098,0.0,-0.109,0.601
"F5 {""K"": 3, ""X"": 0.04}",hold,2248,-0.024,-0.568,0.383,0.07,0.0,-0.116,0.453
"F5 {""K"": 8, ""X"": 0.04}",2r,2350,-0.037,-0.465,0.304,0.059,-0.015,-0.117,0.348
"F5 {""K"": 5, ""X"": 0.02}",hold,2418,-0.0,-0.7,0.48,0.095,0.0,-0.126,0.575
"F5 {""K"": 5, ""X"": 0.06}",2r,2339,-0.071,-0.467,0.287,0.052,-0.014,-0.143,0.324
"F3 {""M"": 15, ""P"": 0.1}",hold,854,-0.038,-0.694,0.459,0.082,0.0,-0.153,0.541
"F5 {""K"": 8, ""X"": 0.02}",hold,2291,-0.037,-0.708,0.46,0.091,0.0,-0.156,0.551
"F5 {""K"": 5, ""X"": 0.04}",2r,2688,-0.083,-0.555,0.34,0.063,-0.019,-0.172,0.384
F7 {},hold,1343,-0.132,-0.406,0.19,0.039,0.0,-0.177,0.229
"F5 {""K"": 3, ""X"": 0.04}",2r,2789,-0.086,-0.598,0.363,0.07,-0.023,-0.188,0.41
"F5 {""K"": 3, ""X"": 0.06}",2r,2493,-0.103,-0.551,0.32,0.06,-0.017,-0.188,0.363
"F1 {""P"": 0.05}",hold,2649,-0.076,-0.851,0.553,0.093,0.0,-0.205,0.646
"F1 {""P"": 0.12}",2r,847,-0.127,-0.612,0.366,0.056,-0.02,-0.21,0.402
