symbol,day,halt_seq,entry_t,n_quotes,q_ts,nbb,nbo,spread,mean_spread,err
ZJK,2025-01-06,2,2025-01-06T19:56:00+00:00,635,2025-01-06T19:55:59.951050+00:00,13.0,13.71,0.7100000000000009,0.3266930693069308,
LAES,2025-01-08,4,2025-01-08T15:02:00+00:00,7565,2025-01-08T15:01:59.969419+00:00,3.85,3.88,0.029999999999999805,0.014764361078546393,
LAES,2025-01-08,5,2025-01-08T15:31:00+00:00,6351,2025-01-08T15:30:59.986901+00:00,5.29,5.3,0.009999999999999787,0.016582007343941246,
XXII,2025-01-08,1,2025-01-08T20:47:00+00:00,1015,2025-01-08T20:46:59.924835+00:00,8.52,8.7,0.17999999999999972,0.15765925925925936,
CHSN,2025-01-10,1,2025-01-10T18:49:00+00:00,159,2025-01-10T18:48:58.432848+00:00,4.33,4.5,0.16999999999999993,0.12131147540983594,
LAES,2025-01-10,1,2025-01-10T14:46:00+00:00,6001,2025-01-10T14:45:59.940672+00:00,5.98,5.99,0.009999999999999787,0.014378990731204883,
MSW,2025-01-10,1,2025-01-10T16:28:00+00:00,347,2025-01-10T16:27:59.805292+00:00,9.04,9.32,0.28000000000000114,0.24942622950819654,
XTIA,2025-01-13,1,2025-01-13T14:44:00+00:00,135,2025-01-13T14:43:58.305847+00:00,6.55,6.67,0.1200000000000001,0.10783018867924528,
XTIA,2025-01-13,2,2025-01-13T14:52:00+00:00,102,2025-01-13T14:51:54.128545+00:00,6.23,6.4,0.16999999999999993,0.2151315789473686,
JUNS,2025-01-14,1,2025-01-14T16:35:00+00:00,36,2025-01-14T16:34:54.893149+00:00,6.84,7.0,0.16000000000000014,0.20600000000000004,
JUNS,2025-01-14,2,2025-01-14T16:41:00+00:00,44,2025-01-14T16:40:47.224367+00:00,7.0,7.2,0.20000000000000018,0.5492857142857142,
XXII,2025-01-14,1,2025-01-14T14:54:00+00:00,1350,2025-01-14T14:53:59.889632+00:00,8.79,8.82,0.030000000000001137,0.13917307692307687,
