day,symbol,range_high,range_low,open_p,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_close_position,prev_close,gap_pct,prev_day_range_pct,prev_day_close_position,price_vs_20d_high_pct,return_volatility_20d,adv20,trig_m,ssr,limit,filled,nofill,entry,exit,reason,entry_m,exit_m,R,cellC_new
2025-01-02,MSTZ,26.6287,25.69,26.1,3.596551724137921,378467.0,2.030896294076553,0.7989773090444255,28.09,-7.084371662513345,19.97436810252758,0.8537107007913313,-9.722318303194644,423.0016421362784,330749258.95,581,0,25.61293,1,,25.55,26.6287,stop,582.0,662.0,1.0786999999999978,1
2025-01-02,PDYN,11.95,10.8124,11.4,9.978947368421045,394085.0,3.509897926970156,0.0110759493670877,12.27,-7.090464547677255,17.440912795436027,0.6962616822429906,-23.745819397993305,21.066866750555256,12302619.5,575,1,10.7799628,0,gap_through,,,,,,,0
2025-01-02,SMST,7.8897,7.61,7.73,3.6183699870633896,856629.0,1.956781130825477,0.7865570253843394,8.34,-7.314148681055149,19.96402877697841,0.8588588588588592,-9.8542274052478,12.992837111857172,25410175.35,581,0,7.58717,1,,7.565,7.8897,stop,582.0,653.0,0.3247,1
2025-01-02,TSLL,26.0,24.6,25.67,5.453837164004669,5123520.0,1.77466750366956,0.0,27.53,-6.756265891754447,13.512531783508894,0.0806451612903228,-38.14457831325301,8.406399943903933,66388223.6,575,1,24.526200000000003,0,gap_through,,,,,,,0
2025-01-03,HOLO,5.41,4.92,5.41,9.057301293900188,1371334.0,3.769223673755103,0.2244897959183679,5.8,-6.724137931034477,18.620689655172416,0.2592592592592594,-41.51351351351351,40.419284611367225,29255394.65,601,1,4.90524,0,gap_through,,,,,,,0
2025-01-03,PDYN,11.58,10.83,11.0,6.8181818181818175,224937.0,2.25570282441892,1.0,11.76,-6.462585034013604,22.959183673469383,0.6888888888888889,-26.421404682274247,20.876969665877272,12519672.25,618,0,10.79751,1,,10.9294,10.05,eod,619.0,900.0,0.6506000000000007,0
2025-01-03,QBTS,9.58,9.04,9.11,5.92755214050495,2299168.0,2.4661209683359475,0.851851851851852,9.61,-5.202913631633716,19.562955254942768,0.9627659574468084,-20.157756354075374,18.47548402974733,95024454.45,619,0,9.01288,1,,8.97,9.58,stop,620.0,656.0,0.6099999999999994,1
2025-01-03,RGTI,19.74,18.16,18.95,8.337730870712393,9598581.0,3.900454038591476,0.6962025316455712,20.0,-5.250000000000004,23.5,1.0,-5.250000000000004,19.632206445379207,185848192.1,619,0,18.10552,1,,18.02,18.7967,eod,620.0,900.0,1.7199999999999989,1
2025-01-06,MNSO,26.45,25.95,26.01,1.9223375624759709,163226.0,1.0500029815005885,0.0799999999999983,27.56,-5.624092888243822,3.737300435413647,0.854368932038833,-6.134969325153372,3.611372142766964,1073098.6,575,0,25.87215,1,,25.885,24.39,eod,576.0,900.0,0.5649999999999977,0
2025-01-06,MSTZ,19.12,18.02,18.02,6.104328523862384,677102.0,2.433296001788016,0.7454545454545447,19.21,-6.194690265486732,36.855804268610086,0.0861581920903954,-37.67035156412136,423.3422375184157,298593856.6,593,0,17.96594,0,gap_through,,,,,,,0
2025-01-06,NVD,24.56,24.0,24.31,2.303578774167004,130659.0,0.8636090298039285,0.2321428571428559,25.72,-5.482115085536548,7.892690513219276,0.0837438423645312,0.0,0.0,0.0,580,0,23.928,1,,23.94,23.9,eod,581.0,945.0,0.6199999999999974,0
2025-01-06,SMST,5.66,5.35,5.35,5.794392523364496,1487287.0,2.311337966986832,0.7741935483870962,5.68,-5.809859154929579,37.5,0.084507042253521,-37.60932944606414,13.913308966471169,25037367.2,593,0,5.33395,0,gap_through,,,,,,,0
2025-01-07,CRNC,20.07,18.94,18.96,5.95991561181434,1210851.0,2.4783237130071347,0.8938053097345123,20.18,-6.045589692765108,41.77403369672943,0.1316725978647686,-31.05454545454545,32.57388280493232,13313431.9,603,0,18.883180000000003,1,,18.8699,20.07,stop,604.0,621.0,1.200099999999999,1
2025-01-07,DFNS,27.0102,26.0,26.49,3.8135145337863374,28458.0,2.0338061172953967,0.4999010097010478,28.15,-5.896980461811724,33.00177619893428,0.4886975242195909,-66.17722165474976,181.2004607990272,12863325.3,575,1,25.922,0,gap_through,,,,,,,0
2025-01-07,IDAI,7.49,6.9775,7.49,6.842456608811751,25657.0,1.88984247226679,0.3560975609756098,8.26,-9.32203389830508,23.728813559322045,0.6428571428571425,-16.406250000000007,301.56287457568527,7861751.0,633,1,6.9565675,0,gap_through,,,,,,,0
2025-01-07,MSTU,11.95,11.42,11.7,4.5299145299145245,2224077.0,2.2834976443202417,0.3962264150943417,12.58,-6.995230524642296,22.398251192368843,0.921922135074706,-93.1542917324908,24.89446679753099,34375305.75,576,0,11.38574,1,,11.38,11.95,stop,577.0,583.0,0.5699999999999985,1
2025-01-07,SERV,19.97,19.03,19.51,4.818042029728333,1856843.0,2.71367601304781,0.4093617021276589,22.89,-14.766273481869806,17.649628658802982,0.6386138613861386,-19.87679671457905,12.878497329237074,13435510.8,601,1,18.97291,0,gap_through,,,,,,,0
2025-01-07,STOK,10.555,9.82,9.83,7.477110885045772,121617.0,2.698577873689937,0.5850340136054423,11.02,-10.79854809437386,5.852994555353899,0.0620155038759677,-16.197783461210573,2.6757553073038607,466284.4,579,1,9.79054,1,,9.78,9.25,eod,580.0,945.0,0.7750000000000004,1
2025-01-07,ZJK,10.85,10.21,10.85,5.898617511520726,67758.0,3.738383962841506,0.6562500000000011,12.01,-9.6586178184846,48.5428809325562,0.4819897084048028,-27.81104457751164,14.309236118472665,593325.7142857143,605,1,10.17937,0,gap_through,,,,,,,0
2025-01-08,ALTS,6.6,6.325,6.4,4.296874999999992,15670.0,1.5289399051892762,0.9272727272727288,6.8,-5.882352941176463,19.558823529411768,0.7819548872180451,-9.73201692524682,5.2856269401011735,303384.0,580,0,6.306025,1,,6.4,6.61,stop,581.0,639.0,0.1999999999999993,0
2025-01-08,ARQQ,27.99,24.3,27.99,13.183279742765269,188272.0,4.794408771841694,0.0805962059620595,35.7,-21.596638655462197,12.24089635854341,0.1121281464530897,-46.9785944307634,15.736559352894728,1292786.35,575,1,24.2271,1,,25.15,27.99,stop,576.0,779.0,2.84,0
2025-01-08,ATOM,14.935,13.69,14.86,8.378196500672955,154340.0,3.448868668561742,0.1325301204819283,16.24,-8.497536945812803,10.65578817733991,0.8552441490898571,-15.327635327635331,9.70562188287676,950325.35,575,1,13.64893,1,,13.8953,11.7936,eod,576.0,900.0,1.0396999999999998,0
2025-01-08,CRNC,17.41,16.63,17.275,4.515195369030398,701781.0,2.165538146998533,0.3333333333333348,18.97,-8.935160780179233,16.552451238798106,0.1019108280254777,-37.18181818181819,32.717357856848615,14300804.1,577,1,16.580109999999998,0,gap_through,,,,,,,0
2025-01-08,JSPR,9.005,8.7,8.74,3.4897025171624887,168232.0,1.962139432079243,0.4918032786885233,17.71,-50.64935064935065,24.470355731225297,0.1788310219904474,-61.19005328596803,8.186375764780655,410628.6666666667,575,1,8.6739,0,gap_through,,,,,,,0
2025-01-08,NNE,28.6,27.71,28.05,3.1729055258467045,287460.0,1.856678439564566,0.3180898876404464,30.24,-7.242063492063484,13.359788359788356,0.2178217821782176,-16.01796407185628,7.49983334044987,3900566.35,577,0,27.62687,1,,27.59,26.63,eod,578.0,945.0,1.0100000000000016,1
2025-01-08,OKLO,28.86,27.4,27.74,5.263157894736845,734272.0,2.1850074960430854,0.9417808219178077,29.5,-5.96610169491526,12.305084745762707,0.3360881542699722,-13.068003760576628,7.850412602183679,15590143.35,587,0,27.3178,1,,27.6,26.33,eod,588.0,945.0,1.259999999999998,0
2025-01-08,OUST,13.9,13.37,13.66,3.879941434846275,143177.0,1.9778152364371036,0.8113207547169822,14.61,-6.502395619438736,10.53524982888432,0.2533783783783777,-13.925645872715812,7.382410744780427,2059452.35,580,0,13.32989,1,,13.24,12.59,eod,581.0,945.0,0.6600000000000001,1
2025-01-08,PDYN,7.89,7.48,7.87,5.209656925031757,285590.0,2.361803499014356,0.3048780487804883,8.24,-4.490291262135924,18.677184466019416,0.0838206627680309,-47.357859531772576,21.36777851613125,13074317.7,577,0,7.45756,1,,7.4427,7.219050000000001,lock,578.0,860.0,0.44729999999999936,1
2025-01-08,QBTS,6.67,6.09,6.58,8.814589665653497,8634067.0,5.126473246451665,0.0517241379310349,9.55,-31.09947643979058,16.020942408376957,0.3267973856209151,-42.331288343558285,16.89007280163526,97351514.25,575,1,6.07173,0,gap_through,,,,,,,0
2025-01-08,QUBT,12.73,11.17,11.7,13.33333333333334,4687784.0,5.510527322034327,0.2958974358974362,17.49,-33.104631217838765,9.891366495140083,0.6473988439306342,-56.9060773480663,24.649329083672196,62234910.65,576,1,11.13649,0,gap_through,,,,,,,0
2025-01-08,RCAT,12.9,12.1305,12.26,6.276508972267543,605993.0,3.0171690137602307,0.764782326185834,13.06,-6.12557427258806,16.003062787136304,0.0909090909090914,-19.731302827736567,11.242580449846743,14113036.0,591,0,12.0941085,1,,12.1979,11.9501,eod,592.0,900.0,0.7020999999999997,0
2025-01-08,RGTI,12.92,11.6,12.805,10.308473252635691,19938067.0,6.813856224973894,0.3548484848484854,18.39,-30.369766177270257,13.866231647634589,0.3294117647058822,-40.21942110177405,19.24447115538628,191633758.45,576,1,11.5652,0,gap_through,,,,,,,0
2025-01-08,SEDG,16.6,16.08,16.16,3.2178217821782376,455756.0,2.4001549486010814,0.7503846153846111,17.59,-8.129619101762362,12.45025582717454,0.4977168949771686,-14.947368421052632,6.509519876153649,5171560.15,607,0,16.03176,1,,16.015,15.04,eod,608.0,945.0,0.5850000000000009,1
2025-01-08,SKYT,13.595,13.01,13.4,4.365671641791051,109061.0,2.1203033348883378,0.1025641025641032,15.16,-11.609498680738785,10.93271767810026,0.2337395921322551,-29.47368421052631,10.805556976251312,1632185.85,576,1,12.97097,0,gap_through,,,,,,,0
2025-01-08,SMR,21.23,20.49,20.53,3.604481246955684,404416.0,1.6555169588029364,0.7972972972972949,21.72,-5.478821362799253,14.68600368324126,0.2852216439902189,-23.252336448598125,7.332999239297604,9124605.6,586,0,20.42853,1,,20.375,19.24,eod,587.0,900.0,0.8550000000000004,1
2025-01-08,SOUN,17.07,16.38,16.57,4.164152082076049,5631490.0,2.245263317162717,0.8833333333333325,17.975,-7.816411682892912,16.467315716272605,0.1604729729729734,-33.66693354683747,10.156509773403643,98274475.5,578,0,16.330859999999998,1,,16.37,15.0527,eod,579.0,900.0,0.6999999999999993,0
2025-01-08,SPCB,8.3,7.98,8.01,3.995006242197257,43115.0,1.7077755265826302,0.1496875000000007,8.99,-10.901001112347055,21.79866518353728,0.4439455018625301,-25.833333333333343,18.66293972955201,2817151.5,600,1,7.956060000000001,0,gap_through,,,,,,,0
2025-01-08,WKEY,7.8985,7.36,7.85,6.859872611464968,128052.0,1.993437958732308,0.074280408542247,8.73,-10.080183276059572,22.79381443298969,0.3115231921202075,-43.92857142857143,36.549544953662135,9163918.35,577,1,7.33792,0,gap_through,,,,,,,0
