,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
prev_day_close_position,-0.02,0.02,0.05,0.04,0.03,-0.02,-0.0,-0.03,-0.0,-0.01,-0.02,-0.12,1.0,-0.02,-0.08,0.01,-0.01,0.03,-0.08,-0.02,-0.01,-0.01,-0.08,-0.01
avg_daily_volume_20d,0.02,-0.02,0.59,0.0,-0.19,0.01,-0.0,-0.01,-0.01,-0.01,0.27,0.02,-0.02,1.0,0.16,0.24,0.18,-0.08,-0.03,0.01,-0.04,-0.01,0.0,0.01
avg_daily_range_pct_20d,0.03,0.31,0.04,0.34,-0.2,-0.03,-0.04,-0.05,-0.03,-0.07,0.12,0.43,-0.08,0.16,1.0,0.02,0.18,0.02,-0.14,0.11,-0.11,-0.03,0.02,0.08
price_vs_20d_high_pct,-0.02,0.09,-0.0,0.08,-0.0,-0.01,-0.01,-0.03,-0.01,-0.02,0.84,0.0,0.01,0.24,0.02,1.0,-0.0,0.01,-0.01,-0.0,-0.03,-0.01,-0.01,0.01
return_volatility_20d,0.01,0.09,0.0,0.1,-0.04,-0.0,-0.01,-0.01,0.0,-0.02,0.0,0.11,-0.01,0.18,0.18,-0.0,1.0,0.0,-0.03,0.01,-0.03,-0.01,0.01,0.02
prev_day_volume_vs_20d,-0.02,0.31,0.09,0.36,-0.05,-0.02,-0.03,-0.04,-0.0,-0.04,-0.01,0.37,0.03,-0.08,0.02,0.01,0.0,1.0,-0.01,-0.01,-0.06,-0.02,0.03,0.01
spy_range_pct_5min,-0.02,-0.09,-0.05,-0.1,0.08,-0.02,-0.0,-0.01,0.02,0.01,-0.02,0.0,-0.08,-0.03,-0.14,-0.01,-0.03,-0.01,1.0,-0.19,0.3,0.11,-0.07,-0.24
spy_return_5min_pct,0.09,0.05,0.02,0.07,-0.07,0.04,0.05,0.03,0.01,0.05,0.0,0.03,-0.02,0.01,0.11,-0.0,0.01,-0.01,-0.19,1.0,-0.47,-0.09,0.14,0.08
spy_gap_pct,-0.07,-0.16,-0.07,-0.18,0.14,-0.0,-0.02,0.01,-0.01,0.01,-0.02,-0.04,-0.01,-0.04,-0.11,-0.03,-0.03,-0.06,0.3,-0.47,1.0,0.08,-0.2,-0.05
spy_3d_range_pct,-0.02,-0.06,-0.03,-0.06,0.02,-0.02,-0.03,-0.02,0.03,-0.01,-0.01,0.0,-0.01,-0.01,-0.03,-0.01,-0.01,-0.02,0.11,-0.09,0.08,1.0,-0.06,-0.21
day_of_week,0.05,0.05,0.01,0.06,-0.04,0.02,0.03,0.02,-0.01,0.01,-0.01,0.01,-0.08,0.0,0.02,-0.01,0.01,0.03,-0.07,0.14,-0.2,-0.06,1.0,0.05
days_since_month_start,0.01,0.04,0.02,0.05,-0.02,0.02,0.01,0.0,-0.01,-0.01,0.02,-0.01,-0.01,0.01,0.08,0.01,0.02,0.01,-0.24,0.08,-0.05,-0.21,0.05,1.0
