symbol,bar_date
APM,2025-01-02
ASPI,2025-01-02
ATCH,2025-01-02
AVXL,2025-01-02
BBAI,2025-01-02
BFLY,2025-01-02
CALY,2025-01-02
CIFR,2025-01-02
CONL,2025-01-02
ETHT,2025-01-02
ETHU,2025-01-02
GRRR,2025-01-02
HOLO,2025-01-02
ICG,2025-01-02
INTZ,2025-01-02
IREN,2025-01-02
IVDA,2025-01-02
KORE,2025-01-02
KULR,2025-01-02
LAES,2025-01-02
LTBR,2025-01-02
MARA,2025-01-02
MLGO,2025-01-02
MSTU,2025-01-02
MSTX,2025-01-02
NUAI,2025-01-02
OST,2025-01-02
POET,2025-01-02
PONY,2025-01-02
RGTI,2025-01-02
RGTIW,2025-01-02
SATL,2025-01-02
SEDG,2025-01-02
SERV,2025-01-02
SMR,2025-01-02
SOUN,2025-01-02
SPCB,2025-01-02
TSLQ,2025-01-02
U,2025-01-02
UEC,2025-01-02
VSAT,2025-01-02
VUZI,2025-01-02
WULF,2025-01-02
XPON,2025-01-02
ZENA,2025-01-02
ZVIA,2025-01-02
ATOM,2025-01-03
CANG,2025-01-03
CRNC,2025-01-03
ETHT,2025-01-03
ETHU,2025-01-03
IVDA,2025-01-03
KC,2025-01-03
KOLD,2025-01-03
KORU,2025-01-03
LFCR,2025-01-03
LTBR,2025-01-03
MNSO,2025-01-03
NRXP,2025-01-03
NVNI,2025-01-03
ONDS,2025-01-03
POET,2025-01-03
QSI,2025-01-03
RCAT,2025-01-03
RGP,2025-01-03
RIVN,2025-01-03
RZLV,2025-01-03
SIDU,2025-01-03
SPCB,2025-01-03
UAVS,2025-01-03
ZYME,2025-01-03
AAOI,2025-01-06
AEVA,2025-01-06
ALLT,2025-01-06
AMDL,2025-01-06
AMPG,2025-01-06
AMPX,2025-01-06
APLD,2025-01-06
ARBE,2025-01-06
ARQQ,2025-01-06
ASAN,2025-01-06
ASPN,2025-01-06
BB,2025-01-06
BDMD,2025-01-06
CIFR,2025-01-06
CMPS,2025-01-06
CMTL,2025-01-06
CONL,2025-01-06
CPRI,2025-01-06
CRNC,2025-01-06
CRNT,2025-01-06
DFNS,2025-01-06
