kind,scenario,day_seed,expected,got,rej,n_bars,sig_bar,sig_minute,tail,adv20,k
MISMATCH,D,2080311351,"{'bar_idx': 16, 'minute': 586, 'level': 3.1, 'stop': 3.03, 'rv': 1.091925557135244, 'limit': 3.12, 'sl': 3.03}",,,379.0,16,586.0,"[('post_cut_first', 18)]",3060917.565127646,
MISMATCH,C,133713789,"{'bar_idx': 30, 'minute': 602, 'level': 29.57, 'stop': 28.95, 'rv': 4.220939906719914, 'limit': 29.75, 'sl': 28.95}","{'limit': 29.91, 'sl': 28.95, 'level': 29.73, 'stop': 28.95, 'rv': 4.384271114030548, 'n_orders': 1}",ordered,73.0,30,602.0,"[('late', 30, 1)]",714821.0023179493,
MISMATCH,C,851758107,"{'bar_idx': 9, 'minute': 585, 'level': 27.77, 'stop': 26.87, 'rv': 1.1781800692677087, 'limit': 27.94, 'sl': 26.87}","{'limit': 28.12, 'sl': 26.87, 'level': 27.95, 'stop': 26.87, 'rv': 1.161612062155715, 'n_orders': 1}",ordered,253.0,9,585.0,"[('late', 8, 3)]",2245054.4703379534,
MISMATCH,D,1601200557,"{'bar_idx': 11, 'minute': 581, 'level': 35.29, 'stop': 34.19, 'rv': 1.8478319767049514, 'limit': 35.5, 'sl': 34.19}",,,366.0,11,581.0,"[('post_cut_first', 5)]",3706668.1853907797,
MISMATCH,E,543285497,"{'bar_idx': 34, 'minute': 604, 'level': 54.01, 'stop': 52.73, 'rv': 1.071844307090455, 'limit': 54.33, 'sl': 52.73}","{'limit': 54.33, 'sl': 53.07, 'level': 54.01, 'stop': 53.07, 'rv': 1.0655085253809895, 'n_orders': 1}",ordered,214.0,34,604.0,"[('hole', 32, 2)]",1916784.7716034392,
MISMATCH,D,479898973,"{'bar_idx': 9, 'minute': 581, 'level': 58.39, 'stop': 56.13, 'rv': 2.377437096527597, 'limit': 58.74, 'sl': 56.13}",,,316.0,9,581.0,"[('post_cut_first', 24)]",1610053.1137462072,
MISMATCH,C,1699590456,,"{'limit': 43.92, 'sl': 42.42, 'level': 43.66, 'stop': 42.42, 'rv': 1.6028009315821796, 'n_orders': 1}",ordered,147.0,10,581.0,"[('late', 9, 2)]",2277700.1984870755,
MISMATCH,D,1277483315,"{'bar_idx': 37, 'minute': 612, 'level': 55.23, 'stop': 53.4, 'rv': 1.251520793906552, 'limit': 55.56, 'sl': 53.4}",,,307.0,37,612.0,"[('post_cut_first', 2)]",3272282.7434004303,
MISMATCH,C,1631824973,"{'bar_idx': 56, 'minute': 626, 'level': 4.33, 'stop': 4.24, 'rv': 3.800976720033394, 'limit': 4.36, 'sl': 4.24}","{'limit': 4.36, 'sl': 4.24, 'level': 4.33, 'stop': 4.24, 'rv': 3.779789343082533, 'n_orders': 1}",ordered,91.0,56,626.0,"[('late', 55, 1)]",1438319.9428037195,
MISMATCH,D,334773878,"{'bar_idx': 10, 'minute': 582, 'level': 11.15, 'stop': 10.77, 'rv': 1.8197516146582775, 'limit': 11.22, 'sl': 10.77}",,,359.0,10,582.0,"[('post_cut_first', 8)]",3359771.7132115914,
MISMATCH,C,779771220,"{'bar_idx': 69, 'minute': 639, 'level': 43.48, 'stop': 42.45, 'rv': 2.03812272733616, 'limit': 43.74, 'sl': 42.45}","{'limit': 43.74, 'sl': 42.45, 'level': 43.48, 'stop': 42.45, 'rv': 2.021348985945037, 'n_orders': 1}",ordered,177.0,69,639.0,"[('late', 69, 3)]",1339796.7532283796,
MISMATCH,C,152679213,"{'bar_idx': 6, 'minute': 578, 'level': 34.88, 'stop': 33.59, 'rv': 1.1884968658710986, 'limit': 35.09, 'sl': 33.59}","{'limit': 35.09, 'sl': 33.59, 'level': 34.88, 'stop': 33.59, 'rv': 1.2119699802996369, 'n_orders': 1}",ordered,137.0,6,578.0,"[('late', 6, 1)]",4106826.1433088,
STALE_EXPECTED_BUT,E,116700490,,"{'limit': 18.14, 'sl': 17.62, 'level': 18.03, 'stop': 17.62, 'rv': 1.3324369820683457, 'n_orders': 1}",ordered,,94,,,,97.0
