feature,source,latest_input_ts,computable_at_0935,coverage_pct,n_nan,sentinel_zero_pct,nunique,nan_pct_entered,zero_pct_entered,nan_pct_nofill,zero_pct_nofill,nan_pct_TRAIN,zero_pct_TRAIN,nan_pct_VAL,zero_pct_VAL,nan_pct_TEST,zero_pct_TEST
entry_price,study_orb_features.trade_row: range_high x (1+30bps) — the ORDER level,09:35:00,True,100.0,0,0.0,6435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
range_size_pct,"L268 (range_high-range_low)/open, rb = bars 09:30-09:34",09:35:00,True,100.0,0,0.0,12489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
range_total_volume,L269 rb.volume.sum(),09:35:00,True,100.0,0,0.0,12809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
range_avg_bar_range_pct,L271 mean (h-l)/c over rb,09:35:00,True,100.0,0,0.0,12915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
range_volume_stddev_pct,L274 std of rb.volume,09:35:00,True,100.0,0,0.0,12915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bars_green_in_range,L277 count(close>open) over rb,09:35:00,True,100.0,0,4.956648507634466,6,0.0,2.337206160497163,0.0,8.399928964659917,0.0,5.255344418052257,0.0,4.716435185185185,0.0,4.540654699049631
range_close_position,L278 (close-range_low)/range_size,09:35:00,True,100.0,0,4.6574081178546765,10309,0.0,2.6614428532828964,0.0,7.28112235837329,0.0,4.201306413301663,0.0,5.613425925925926,0.0,4.5758535726856735
range_return_pct,L279 (close-open)/open over rb,09:35:00,True,100.0,0,0.9897951354254584,12413,0.0,1.1348284247500677,0.0,0.7991475759190196,0.0,0.9204275534441805,0.0,1.1863425925925926,0.0,0.9151707145371348
last_bar_green,L280 rb.close[-1] > rb.open[-1],09:35:00,True,100.0,0,56.203483465050255,2,0.0,48.919211024047556,0.0,65.77872491564554,0.0,55.98277909738717,0.0,56.510416666666664,0.0,56.35339669130588
range_vwap_distance_pct,L286 rb close vs rb VWAP,09:35:00,True,100.0,0,0.0,12915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gap_pct,L305 (today 09:30 open - prev close)/prev close,09:30:00,True,100.0,0,0.007672830507174097,11557,0.0,0.0,0.0,0.01775883502042266,0.0,0.01484560570071259,0.0,0.0,0.0,0.0
prev_day_range_pct,L306 prev daily bar only (bar_date < today),prev close,True,100.0,0,0.0,12700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prev_day_close_position,L308 prev daily bar only,prev close,True,100.0,0,1.0665234404971995,11226,0.0,1.0942988381518508,0.0,1.0300124311845142,0.0,0.9501187648456058,0.0,1.0127314814814814,0.0,1.407954945441746
avg_daily_volume_20d,"L322 prior_df = daily bars < today, tail(20)",prev close,True,100.0,0,0.9053939998465435,12801,0.0,0.7970818697649283,0.0,1.047771266204937,0.0,1.009501187648456,0.0,0.7523148148148148,0.0,0.8447729672650475
avg_daily_range_pct_20d,L324 prior_df,prev close,True,100.0,0,0.9053939998465435,12802,0.0,0.7970818697649283,0.0,1.047771266204937,0.0,1.009501187648456,0.0,0.7523148148148148,0.0,0.8447729672650475
price_vs_20d_high_pct,L326 today 09:30 open vs prior_df high,09:30:00,True,100.0,0,1.1739430675976368,12609,0.0,1.1348284247500677,0.0,1.2253596164091636,0.0,1.3064133016627077,0.0,1.0416666666666665,0.0,1.0207673354452658
return_volatility_20d,L331 std of prior_df daily returns,prev close,True,100.0,0,0.9053939998465435,12802,0.0,0.7970818697649283,0.0,1.047771266204937,0.0,1.009501187648456,0.0,0.7523148148148148,0.0,0.8447729672650475
prev_day_volume_vs_20d,L334 prev volume / prior_df mean volume,prev close,True,100.0,0,0.9053939998465435,12802,0.0,0.7970818697649283,0.0,1.047771266204937,0.0,1.009501187648456,0.0,0.7523148148148148,0.0,0.8447729672650475
spy_range_pct_5min,"L363 SPY bars [09:30,09:35)",09:35:00,True,100.0,0,42.768357246988415,269,0.0,42.42096730613348,0.0,43.225004439708755,0.0,13.657957244655583,0.0,52.45949074074075,0.0,100.0
spy_return_5min_pct,"L364 SPY bars [09:30,09:35)",09:35:00,True,100.0,0,42.768357246988415,269,0.0,42.42096730613348,0.0,43.225004439708755,0.0,13.657957244655583,0.0,52.45949074074075,0.0,100.0
spy_gap_pct,L378 SPY today OPEN vs SPY prev close — value is the 09:30 print,09:30:00,True,100.0,0,0.0,427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spy_3d_range_pct,L385 SPY prior 3 daily bars (bar_date < today),prev close,True,100.0,0,0.0,427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day_of_week,L390 calendar,known ex ante,True,100.0,0,24.008286656947746,5,0.0,24.15563361253715,0.0,23.81459776238679,0.0,27.256532066508317,0.0,16.57986111111111,0.0,25.343189017951424
days_since_month_start,L391 calendar,known ex ante,True,100.0,0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
