correction,TRAIN_n,TRAIN_meanR,TRAIN_t,TRAIN_WR,TRAIN_sumR,TRAIN_green,VAL_n,VAL_meanR,VAL_t,VAL_WR,VAL_sumR,VAL_green,TEST_n,TEST_meanR,TEST_t,TEST_WR,TEST_sumR,TEST_green
BASE - the study as published,996,0.124,2.78,44.2,123.0,34/53,408,0.32,4.29,51.0,130.5,17/22,272,0.353,3.87,52.9,95.9,12/14
"C1 entry = max(level x 1.003, entry-bar OPEN)",996,-0.15,-3.83,34.3,-149.4,14/53,408,0.057,0.86,44.1,23.2,14/22,272,0.086,1.04,43.4,23.3,8/14
C2 stop charged inside the entry bar,996,0.121,2.82,43.4,120.8,35/53,408,0.324,4.58,49.5,132.2,17/22,272,0.358,4.17,51.5,97.3,12/14
C3a stop fill 25 bps through,996,0.103,2.28,44.2,102.5,33/53,408,0.299,3.95,51.0,121.9,17/22,272,0.335,3.62,52.9,91.1,11/14
C3b stop fill 50 bps through,996,0.069,1.48,44.2,68.3,30/53,408,0.264,3.4,51.0,107.7,16/22,272,0.305,3.22,52.9,83.0,10/14
C3c stop fill 100 bps through,996,-0.0,-0.0,44.2,-0.1,28/53,408,0.194,2.37,51.0,79.3,16/22,272,0.245,2.47,52.9,66.7,10/14
C5 15:55 exit 10 bps below the open,996,0.118,2.65,43.8,117.2,34/53,408,0.315,4.22,50.7,128.4,17/22,272,0.347,3.81,52.2,94.5,12/14
C8e entry slip 50 bps instead of 30,996,0.064,1.48,41.6,64.1,30/53,408,0.273,3.75,49.8,111.4,17/22,272,0.319,3.59,51.8,86.8,12/14
C8e entry slip 75 bps (half the measured median spread),996,-0.003,-0.08,39.3,-3.2,25/53,408,0.2,2.83,48.0,81.7,17/22,272,0.262,3.0,49.6,71.2,11/14
C8e entry slip 150 bps (half the measured mean spread),996,-0.174,-4.57,32.6,-173.1,15/53,408,0.03,0.46,43.4,12.3,13/22,272,0.074,0.94,43.8,20.2,9/14
C6 drop positions > 1% of the 5-min $ volume,989,0.146,3.82,45.2,144.6,33/53,408,0.494,7.17,57.4,201.7,18/22,272,0.322,3.79,52.9,87.7,13/14
C6b drop positions > 5% of the 5-min $ volume,996,0.107,2.57,44.1,106.6,32/53,408,0.389,5.41,53.7,158.5,19/22,272,0.346,3.97,52.2,94.0,11/14
C7 tape-ends-early names booked at -1R,996,0.106,2.38,43.5,106.0,34/53,408,0.312,4.17,50.5,127.2,17/22,272,0.353,3.87,52.9,95.9,12/14
C7b tape-ends-early names excluded,996,0.121,2.71,44.0,120.7,34/53,408,0.319,4.27,50.7,130.2,17/22,272,0.353,3.87,52.9,95.9,12/14
C8 exit cost = MEASURED median spread (actively quoted),996,0.073,1.6,43.2,72.6,30/53,408,0.272,3.55,50.7,111.1,16/22,272,0.309,3.31,52.2,84.0,11/14
C8b exit cost = MEASURED mean spread (actively quoted),996,0.041,0.88,42.6,40.7,30/53,408,0.24,3.07,50.5,97.9,16/22,272,0.28,2.95,51.8,76.1,10/14
C8c exit cost = MEASURED median spread (all sampled),996,0.001,0.02,42.2,1.1,28/53,408,0.21,2.65,50.5,85.8,16/22,272,0.252,2.61,51.1,68.5,10/14
"ALL corrections, STUDY cost (40 bps)",989,-0.029,-0.77,39.5,-28.5,22/53,408,0.266,4.02,51.2,108.5,16/22,272,0.087,1.11,44.9,23.6,7/14
ALL corrections + MEASURED median spread,989,-0.066,-1.74,38.4,-65.2,18/53,408,0.233,3.46,50.7,94.9,15/22,272,0.05,0.63,44.1,13.6,5/14
ALL + 75 bps entry slip + MEASURED median spread,989,-0.117,-3.17,36.7,-115.4,16/53,408,0.168,2.58,49.0,68.6,15/22,272,0.012,0.15,41.9,3.3,4/14
ALL + 75 bps entry slip + MEASURED mean spread,989,-0.143,-3.84,35.6,-141.0,14/53,408,0.143,2.17,48.0,58.4,15/22,272,-0.014,-0.18,41.9,-3.9,4/14
MID: C1 + measured median spread only,996,-0.196,-4.92,33.6,-195.3,12/53,408,0.014,0.2,43.9,5.5,12/22,272,0.046,0.55,42.3,12.4,7/14
