day,symbol,entry_m,rr,why
2025-01-10,PSMT,580,1.0925925925925966,pp+eod
2025-01-10,BLBD,593,0.47341025641025625,pp+stop
2025-01-10,UVXY,607,0.46701408450704013,pp+stop
2025-01-10,MSTZ,612,-1.0393484573502694,stop
2025-01-10,MEG,621,-0.5909090909090887,eod
2025-01-10,FTAI,622,0.4619094827586221,pp+stop
2025-01-10,LFVN,637,0.4756043956043938,pp+stop
2025-01-10,OS,679,1.5,pp+target
2025-01-10,MRUS,692,1.5,pp+target
2025-01-10,IONQ,788,-1.0827791563275482,stop
2025-01-10,TWFG,840,1.0592105263157918,pp+eod
2025-01-13,BPMC,577,1.5,pp+target
2025-01-13,AVGX,584,-0.5214723926380391,eod
2025-01-13,AVL,586,-0.5384615384615384,eod
2025-01-13,VRNA,586,-1.0552976190476193,stop
2025-01-13,ALGS,599,-0.08130081300813144,eod
2025-01-14,FARO,586,1.5,pp+target
2025-01-14,IMVT,604,1.5,pp+target
2025-01-14,BBIO,612,-1.0478767123287702,stop
2025-01-14,GDXU,617,0.4662505768827307,pp+stop
2025-01-14,IESC,625,-1.07879898648649,stop
2025-01-14,SSG,660,-0.21999999999999886,eod
2025-01-14,TSLQ,705,-1.0723732876712373,stop
2025-01-14,BOIL,772,-0.1900826446281012,eod
2025-01-14,NBIS,816,-1.0822363473589902,stop
2025-01-14,IONQ,832,0.4532903022670038,pp+stop
2025-01-15,DOGZ,578,1.5,pp+target
2025-01-15,SEZL,584,0.42405107626414906,pp+stop
2025-01-15,IONQ,591,1.5,pp+target
2025-01-15,MUU,596,1.5,pp+target
2025-01-15,RARE,621,-1.069737704918037,stop
2025-01-15,CONL,630,-1.043638297872344,stop
2025-01-15,DRV,641,1.4848484848484773,pp+eod
2025-01-16,DOGZ,581,1.5,pp+target
2025-01-16,DAVE,594,-1.0854716981132027,stop
2025-01-16,LMND,598,-1.0622264150943432,stop
2025-01-16,IONQ,604,0.4802755102040815,pp+stop
2025-01-16,PNC,632,0.5641414730944382,eod
2025-01-16,PTIR,669,-1.0835627093412754,stop
2025-01-16,HUT,670,-1.0639518072289174,stop
2025-01-16,CONL,688,-1.0662769230769285,stop
2025-01-16,NVD,699,-1.1477272727272667,stop
2025-01-16,TSLQ,703,-1.0710689961504316,stop
2025-01-16,ALCO,713,-1.2838599999999971,stop
2025-01-16,AKRO,809,-1.0716060606060624,stop
2025-01-17,CHX,591,0.8043478260869533,pp+eod
2025-01-17,SMLR,613,-1.0758443346276088,stop
2025-01-17,TSLL,619,-1.065900433839476,stop
2025-01-17,TSLR,619,-1.0684631352899034,stop
2025-01-17,MARA,641,1.5,pp+target
2025-01-17,RIOX,646,-1.0548690606868445,stop
2025-01-17,SMR,648,1.5,pp+target
2025-01-17,SMTC,659,-1.0977973856209162,stop
2025-01-17,LEGN,677,-1.0969705882352898,stop
2025-01-17,OKLO,697,-1.0461194563662386,stop
2025-01-17,MSTX,699,-1.0566079796744143,stop
2025-01-21,TSLQ,578,0.4868775532737115,pp+stop
2025-01-21,SMMT,579,1.5,pp+target
2025-01-21,IONQ,581,-1.0290143884892067,stop
2025-01-21,QMCO,582,0.47769480519480306,pp+stop
2025-01-21,NNE,628,1.5,pp+target
2025-01-21,LUNR,633,0.48013636363636314,pp+stop
2025-01-21,ASAN,643,-0.31372549019607776,eod
2025-01-21,LEU,667,-1.086408163265313,stop
2025-01-21,SYM,690,0.466331787521079,pp+stop
2025-01-21,SDGR,701,1.5,pp+target
2025-01-21,BTSG,733,-1.0591428571428612,stop
2025-01-21,BE,770,0.7361111111111138,pp+eod
2025-01-22,VICR,586,0.4277452471482915,pp+stop
2025-01-22,MRNA,588,0.48720333333333343,pp+stop
